age_class,age_midpoint,mean,LowerCI,UpperCI
"[0, 5)",3,3.25122549,1.7,6.8
"[5, 10)",7,3.6,2.3,5.7
"[10, 15)",12,4.1,3.1,5.5
"[15, 18)",16,3.8,2.8,5
"[18, 20)",19,3.8,2.8,5
"[20, 25)",22,5.5,4.3,7
"[25, 30)",27,5.4,4.1,7.1
"[30, 35)",32,4.3,3.3,5.4
"[35, 40)",37,4.8,3.9,6
"[40, 45)",42,4.7,3.9,5.7
"[45, 50)",47,5.1,4.2,6.2
"[50, 55)",52,4.9,4,5.9
"[55, 60)",57,4.9,4.1,5.9
"[60, 65)",62,4.1,3.3,5.2
"[65, 70)",67,4.9,3.8,6.3
"[70, 75)",72,4.6,3.5,5.9
"[75, 80)",77,4.2,3,5.9
"[80, 85)",82,5,3.4,7.4
"[85, Inf)",90,3.2,1.8,5.9
